partychoice,female,union,leftright,age
Conservatives,0,2,5,44
Liberals,0,2,4,61
Conservatives,0,1,5,38
Conservatives,1,1,4,55
Conservatives,1,1,5,39
Social Democrats,1,2,2,29
Social Democrats,1,1,3,44
Social Democrats,0,4,2,66
Liberals,0,1,3,28
Conservatives,1,4,5,22
Conservatives,0,4,4,38
Conservatives,0,4,5,63
Social Democrats,1,1,2,32
Social Democrats,0,1,2,38
Social Democrats,1,1,2,58
Social Democrats,0,1,1,53
Social Democrats,1,1,3,46
Social Democrats,0,2,3,53
Conservatives,1,3,5,55
Social Democrats,1,2,2,55
Social Democrats,0,1,3,56
Social Democrats,0,2,1,55
Liberals,1,3,4,50
Social Democrats,0,1,1,47
Social Democrats,1,1,3,57
Left Party,1,1,3,26
Social Democrats,1,1,4,54
Liberals,0,4,4,40
Conservatives,0,4,5,70
Left Party,0,1,4,31
Social Democrats,0,1,1,45
Social Democrats,1,1,2,29
Social Democrats,0,4,2,26
Conservatives,0,2,5,62
Social Democrats,0,4,2,58
Social Democrats,1,1,3,55
Left Party,1,2,2,56
Left Party,1,4,1,20
Left Party,1,2,1,50
Social Democrats,0,2,2,53
Left Party,1,1,2,34
Social Democrats,0,1,3,46
Social Democrats,0,1,2,38
Liberals,1,1,3,51
Social Democrats,0,3,2,53
Social Democrats,1,4,3,65
Social Democrats,0,4,2,65
Social Democrats,0,1,2,67
Conservatives,0,1,3,47
Conservatives,0,4,4,68
Social Democrats,1,1,2,35
Social Democrats,0,1,2,39
Liberals,0,2,4,31
Social Democrats,0,1,1,62
Social Democrats,1,1,3,51
Social Democrats,1,4,5,44
Conservatives,0,2,5,30
Conservatives,0,1,3,43
Liberals,0,4,3,26
Left Party,1,1,2,46
Left Party,1,4,1,17
Conservatives,1,4,5,67
Left Party,1,4,1,17
Left Party,1,2,2,55
Social Democrats,0,1,1,61
Left Party,0,2,3,39
Conservatives,1,2,4,60
Left Party,1,4,1,35
Liberals,0,1,3,38
Liberals,0,1,4,21
Social Democrats,1,1,3,45
Liberals,0,2,4,39
Liberals,1,2,4,38
Liberals,0,4,4,64
Liberals,1,4,4,63
Social Democrats,1,1,2,35
Social Democrats,0,1,3,36
Conservatives,0,4,4,56
Social Democrats,1,2,2,49
Social Democrats,0,4,3,48
Social Democrats,1,2,4,56
Conservatives,1,3,4,55
Social Democrats,1,2,2,41
Left Party,0,1,1,72
Left Party,1,2,2,43
Left Party,1,4,2,36
Social Democrats,0,1,2,41
Conservatives,1,1,3,30
Liberals,1,4,3,23
Left Party,0,2,1,36
Conservatives,0,4,3,37
Social Democrats,1,2,3,69
Conservatives,0,4,5,60
Conservatives,0,4,3,57
Liberals,1,3,3,57
Social Democrats,0,1,3,62
Conservatives,0,2,4,39
Conservatives,0,1,3,32
Social Democrats,0,1,3,35
Social Democrats,0,4,3,41
Conservatives,1,1,3,28
Conservatives,0,3,5,53
Left Party,1,4,1,60
Social Democrats,1,4,3,52
Liberals,1,4,4,67
Social Democrats,0,1,2,56
Social Democrats,1,3,2,33
Liberals,1,3,3,40
Left Party,1,2,1,30
Liberals,1,4,3,19
Liberals,0,2,3,38
Conservatives,0,3,4,41
Social Democrats,1,3,2,33
Social Democrats,0,4,3,26
Conservatives,0,4,4,60
Liberals,0,1,3,33
Left Party,1,1,3,36
Conservatives,0,4,4,51
Left Party,1,1,2,40
Social Democrats,1,4,4,17
Social Democrats,0,1,3,54
Social Democrats,0,1,2,47
Left Party,1,4,2,21
Liberals,0,2,4,35
Social Democrats,0,4,3,22
Social Democrats,0,2,2,63
Social Democrats,1,4,3,60
Social Democrats,0,2,3,47
Social Democrats,0,1,4,35
Liberals,1,3,2,59
Social Democrats,0,4,4,24
Social Democrats,1,2,3,57
Social Democrats,1,1,3,45
Liberals,1,2,4,49
Social Democrats,0,1,2,26
Left Party,0,2,3,36
Conservatives,0,4,4,40
Social Democrats,1,4,3,38
Social Democrats,1,1,2,28
Social Democrats,0,1,2,51
Social Democrats,0,1,4,27
Liberals,0,4,3,66
Liberals,1,2,4,50
Social Democrats,1,4,3,67
Liberals,0,1,4,42
Liberals,1,1,3,22
Social Democrats,0,2,2,48
Social Democrats,0,1,2,51
Social Democrats,0,1,1,22
Conservatives,0,4,4,64
Liberals,0,2,4,47
Social Democrats,1,1,3,48
Left Party,1,2,1,29
Left Party,0,3,1,29
Liberals,1,3,2,47
Social Democrats,1,1,1,45
Social Democrats,0,3,2,54
Social Democrats,1,2,3,32
Liberals,0,3,2,56
Social Democrats,0,1,4,61
Social Democrats,1,4,3,53
Social Democrats,0,4,3,57
Liberals,0,4,3,41
Left Party,1,2,1,42
Social Democrats,1,1,3,37
Left Party,0,1,1,61
Liberals,0,1,4,29
Social Democrats,0,1,2,61
Social Democrats,1,1,3,59
Conservatives,0,4,3,40
Social Democrats,0,4,2,55
Social Democrats,1,2,2,33
Social Democrats,0,2,1,51
Social Democrats,0,1,4,20
Social Democrats,1,2,2,32
Social Democrats,0,2,1,43
Left Party,1,1,3,38
Social Democrats,0,2,4,37
Social Democrats,1,2,3,35
Social Democrats,1,2,3,39
Left Party,1,2,3,55
Left Party,0,4,2,18
Left Party,0,1,1,49
Conservatives,1,4,4,48
Conservatives,1,2,1,53
Social Democrats,1,1,1,37
Social Democrats,0,1,1,51
Social Democrats,0,1,2,66
Social Democrats,1,1,2,46
Social Democrats,0,1,3,29
Social Democrats,0,1,3,20
Social Democrats,0,2,2,41
Liberals,1,2,4,36
Social Democrats,0,1,3,57
Social Democrats,1,2,3,36
Social Democrats,1,1,4,57
Social Democrats,1,1,3,32
Social Democrats,0,1,2,41
Social Democrats,0,2,2,46
Social Democrats,1,2,3,42
Social Democrats,1,3,4,58
Social Democrats,0,4,3,78
Social Democrats,0,1,1,33
Social Democrats,1,1,1,28
Social Democrats,0,1,2,29
Social Democrats,1,4,1,17
Conservatives,1,4,4,32
Social Democrats,0,1,2,58
Social Democrats,0,1,3,30
Social Democrats,1,4,3,58
Social Democrats,1,1,2,46
Liberals,0,1,3,33
Social Democrats,1,4,3,48
Social Democrats,1,4,3,25
Social Democrats,1,3,2,36
Conservatives,1,3,2,29
Social Democrats,0,1,1,56
Liberals,0,3,3,40
Social Democrats,1,1,3,31
Left Party,1,1,2,36
Social Democrats,1,4,3,43
Liberals,1,2,3,33
Left Party,1,4,1,26
Left Party,0,1,1,49
Social Democrats,0,2,4,30
Social Democrats,1,4,4,31
Conservatives,0,4,4,49
Social Democrats,1,4,3,47
Social Democrats,1,4,3,27
Social Democrats,1,1,3,56
Social Democrats,1,3,3,25
Conservatives,1,4,5,40
Social Democrats,1,4,5,38
Social Democrats,1,2,2,29
Conservatives,1,2,4,70
Social Democrats,1,3,2,53
Conservatives,1,4,3,32
Social Democrats,0,1,3,60
Conservatives,0,4,5,42
Social Democrats,1,2,3,49
Conservatives,0,4,4,44
Left Party,0,1,2,37
Conservatives,0,4,4,64
Social Democrats,0,4,3,29
Conservatives,1,4,4,75
Social Democrats,1,1,3,46
Left Party,1,2,1,60
Social Democrats,1,1,1,30
Conservatives,0,4,3,49
Left Party,0,3,1,63
Conservatives,0,1,5,37
Left Party,1,1,1,42
Conservatives,0,4,4,40
Left Party,1,4,1,59
Conservatives,0,4,5,87
Left Party,0,2,1,57
Conservatives,0,4,4,51
Liberals,1,1,3,52
Social Democrats,1,4,3,26
Social Democrats,0,1,3,50
Social Democrats,1,2,2,33
Social Democrats,1,4,3,72
Social Democrats,0,1,3,49
Social Democrats,1,4,3,74
Liberals,1,2,3,62
Liberals,1,4,5,64
Social Democrats,1,4,3,42
Social Democrats,1,1,2,44
Liberals,1,1,4,36
Social Democrats,1,2,2,28
Left Party,1,2,2,55
Liberals,1,3,3,55
Social Democrats,0,3,1,58
Social Democrats,0,4,3,46
Liberals,0,4,2,42
Social Democrats,0,1,2,55
Social Democrats,1,2,2,43
Conservatives,0,4,5,71
Social Democrats,0,4,2,48
Social Democrats,0,1,2,34
Left Party,1,2,2,51
Social Democrats,1,2,2,61
Left Party,1,4,3,27
Social Democrats,0,2,2,40
Left Party,0,1,1,21
Social Democrats,0,1,1,21
Social Democrats,0,4,3,66
Liberals,1,1,3,61
Social Democrats,1,2,3,52
Social Democrats,0,1,3,46
Conservatives,0,2,4,37
Conservatives,1,2,5,59
Social Democrats,0,2,2,55
Social Democrats,0,1,1,77
Liberals,1,1,3,64
Social Democrats,1,1,2,52
Social Democrats,0,4,3,37
Social Democrats,0,1,3,32
Social Democrats,1,4,3,27
Social Democrats,1,3,3,33
Social Democrats,1,2,1,63
Social Democrats,0,1,3,56
Social Democrats,1,1,2,65
Conservatives,1,1,4,56
Left Party,0,1,1,48
Social Democrats,0,4,4,17
Left Party,1,1,3,34
Social Democrats,1,4,2,72
Left Party,1,4,3,31
Left Party,0,4,3,31
Social Democrats,0,1,2,59
Conservatives,0,2,4,60
Social Democrats,0,1,1,21
Social Democrats,1,4,3,38
Conservatives,0,4,5,67
Social Democrats,0,1,5,29
Social Democrats,1,4,3,66
Social Democrats,0,4,4,69
Conservatives,0,2,5,45
Liberals,1,4,3,17
Conservatives,1,1,5,36
Social Democrats,0,4,2,21
Liberals,1,2,3,40
Social Democrats,1,1,3,35
Conservatives,1,4,4,67
Social Democrats,0,1,1,51
Conservatives,0,4,3,65
Conservatives,1,4,5,60
Left Party,0,1,1,58
Liberals,1,4,4,67
Social Democrats,1,1,1,54
Social Democrats,0,1,1,72
Social Democrats,0,1,3,55
Social Democrats,1,1,3,49
Social Democrats,1,4,2,37
Social Democrats,0,4,2,48
Social Democrats,0,1,3,63
Conservatives,0,4,5,23
Social Democrats,0,1,3,56
Social Democrats,1,1,3,36
Social Democrats,0,4,4,38
Social Democrats,1,4,3,38
Social Democrats,0,1,3,45
Social Democrats,0,1,1,54
Liberals,0,1,3,55
Liberals,0,2,4,72
Social Democrats,1,4,3,42
Social Democrats,1,1,2,57
Social Democrats,0,1,3,59
Social Democrats,0,1,2,39
Social Democrats,1,4,3,30
Social Democrats,0,1,1,32
Social Democrats,0,2,4,55
Social Democrats,1,4,3,41
Social Democrats,0,2,3,25
Social Democrats,0,1,1,39
Conservatives,1,4,3,60
Conservatives,0,4,5,32
Conservatives,0,2,4,53
Social Democrats,0,1,1,64
Conservatives,0,4,5,58
Social Democrats,0,4,3,40
Conservatives,0,4,5,47
Social Democrats,1,4,2,19
Conservatives,1,2,4,53
Liberals,0,4,4,28
Left Party,1,1,2,32
Social Democrats,0,4,1,18
Liberals,1,1,3,33
Social Democrats,0,4,3,26
Social Democrats,1,1,2,28
Social Democrats,1,1,3,50
Conservatives,1,4,3,53
Conservatives,0,2,3,62
Social Democrats,0,1,1,40
Conservatives,0,4,5,56
Conservatives,0,4,4,40
Conservatives,1,4,3,18
Social Democrats,0,4,1,18
Conservatives,1,4,3,37
Social Democrats,0,4,2,20
Social Democrats,0,1,3,51
Social Democrats,1,2,2,56
Left Party,1,4,1,45
Conservatives,0,2,5,31
Social Democrats,0,4,1,62
Social Democrats,1,4,3,27
Conservatives,1,4,5,25
Conservatives,0,4,4,47
Social Democrats,1,1,3,28
Liberals,1,1,3,61
Social Democrats,1,4,2,18
Social Democrats,1,4,2,46
Social Democrats,0,4,2,34
Conservatives,1,4,4,34
Social Democrats,0,1,1,45
Social Democrats,0,4,1,18
Social Democrats,1,4,2,25
Social Democrats,1,2,2,49
Social Democrats,0,4,2,19
Conservatives,0,4,5,23
Social Democrats,0,1,2,51
Left Party,1,1,4,28
Social Democrats,0,1,2,33
Social Democrats,0,1,3,69
Social Democrats,1,1,3,35
Social Democrats,0,1,2,26
Social Democrats,0,4,2,18
Conservatives,0,2,4,59
Conservatives,0,1,4,34
Social Democrats,0,4,3,19
Social Democrats,1,1,2,45
Conservatives,1,2,5,50
Social Democrats,1,1,3,23
Conservatives,0,1,5,27
Social Democrats,1,1,2,26
Social Democrats,1,1,3,33
Social Democrats,1,1,3,45
Social Democrats,1,4,3,28
Social Democrats,0,1,1,38
Social Democrats,1,1,3,51
Left Party,0,4,1,53
Social Democrats,1,2,3,38
Social Democrats,0,1,2,56
Social Democrats,0,4,2,19
Conservatives,1,4,4,32
Social Democrats,1,4,3,60
Liberals,0,4,5,67
Social Democrats,0,1,2,64
Social Democrats,1,1,4,63
Left Party,0,1,1,34
Left Party,1,1,2,46
Social Democrats,0,4,4,28
Left Party,1,3,1,32
Social Democrats,1,2,1,31
Conservatives,0,4,3,73
Social Democrats,1,1,2,33
Liberals,0,3,5,37
Liberals,0,2,4,41
Social Democrats,0,1,1,74
Social Democrats,1,3,2,38
Social Democrats,1,2,2,27
Conservatives,0,4,4,28
Social Democrats,0,1,1,39
Liberals,1,4,2,38
Liberals,0,2,4,35
Liberals,0,4,3,26
Left Party,1,3,2,28
Social Democrats,1,3,3,35
Social Democrats,1,1,1,28
Conservatives,1,4,3,28
Left Party,1,1,2,31
Social Democrats,1,1,1,65
Social Democrats,0,4,3,20
Social Democrats,1,4,1,25
Social Democrats,1,2,1,30
Conservatives,1,4,4,24
Social Democrats,1,3,2,28
Liberals,0,3,4,32
Social Democrats,1,1,3,39
Social Democrats,0,3,2,27
Social Democrats,0,3,2,37
Social Democrats,1,4,3,21
Left Party,1,4,1,24
Left Party,1,3,1,38
Conservatives,1,3,4,39
Conservatives,0,4,4,28
Left Party,1,3,1,31
Social Democrats,0,4,2,28
Social Democrats,0,3,2,35
Left Party,1,4,1,28
Liberals,1,4,3,28
Social Democrats,1,4,3,47
Liberals,0,4,2,24
Liberals,0,4,5,27
Social Democrats,0,2,1,53
Left Party,1,1,2,41
Social Democrats,0,4,1,29
Conservatives,0,3,5,35
Liberals,1,4,4,35
Social Democrats,0,1,3,36
Left Party,0,2,2,45
Social Democrats,1,2,1,42
Social Democrats,0,4,2,68
Liberals,1,1,4,23
Conservatives,0,2,5,25
Conservatives,1,2,4,34
Left Party,0,2,2,38
Social Democrats,1,4,2,33
Liberals,0,4,4,25
Conservatives,1,4,5,57
Left Party,1,4,1,22
Conservatives,0,4,5,28
Social Democrats,0,3,2,51
Social Democrats,1,3,2,31
Social Democrats,0,3,3,36
Social Democrats,0,3,2,56
Social Democrats,1,3,2,41
Left Party,1,1,1,46
Social Democrats,0,4,3,40
Social Democrats,1,3,2,31
Liberals,1,3,4,38
Social Democrats,0,4,1,31
Social Democrats,1,3,2,44
Social Democrats,1,3,2,36
Social Democrats,0,4,2,31
Left Party,1,4,1,25
Social Democrats,1,3,2,44
Liberals,1,4,4,29
Social Democrats,1,2,2,30
Social Democrats,1,2,2,32
Liberals,0,4,4,29
Conservatives,1,4,5,28
Conservatives,0,4,5,38
Liberals,1,3,4,21
Liberals,0,4,3,22
Liberals,1,3,2,35
Conservatives,0,3,4,31
Liberals,1,3,2,28
Liberals,1,4,4,28
Social Democrats,1,1,2,66
Liberals,1,4,4,26
Social Democrats,0,4,4,29
Social Democrats,0,4,3,71
Social Democrats,1,1,1,37
Social Democrats,0,1,2,49
Left Party,1,1,2,47
Social Democrats,1,4,1,59
Social Democrats,1,2,2,33
Left Party,0,1,2,43
Conservatives,1,4,3,52
Conservatives,0,4,4,20
Conservatives,1,1,1,21
Social Democrats,1,1,3,56
Social Democrats,0,4,3,30
Conservatives,1,4,4,76
Social Democrats,1,1,3,63
Social Democrats,0,4,2,71
Social Democrats,0,2,3,49
Social Democrats,1,1,2,23
Conservatives,1,3,3,32
Social Democrats,1,2,2,72
Social Democrats,0,1,4,47
Social Democrats,0,1,3,45
Social Democrats,0,1,2,67
Conservatives,1,2,4,33
Social Democrats,1,4,3,65
Social Democrats,1,1,1,42
Left Party,0,1,2,45
Social Democrats,1,4,3,65
Social Democrats,0,4,1,64
Left Party,0,1,1,43
Social Democrats,1,1,3,58
Left Party,0,1,2,44
Left Party,1,1,2,35
Left Party,0,1,1,52
Conservatives,1,1,3,45
Social Democrats,1,3,2,41
Liberals,1,4,3,17
Social Democrats,0,1,2,22
Liberals,1,3,4,39
Social Democrats,1,1,3,39
Social Democrats,1,1,3,53
Social Democrats,1,4,3,31
Left Party,1,4,2,28
Left Party,1,1,2,19
Left Party,1,4,1,17
Social Democrats,0,1,1,55
Left Party,1,4,2,22
Conservatives,0,4,4,63
Social Democrats,1,2,2,50
Conservatives,0,2,4,29
Left Party,0,1,2,41
Left Party,1,4,1,55
Social Democrats,0,4,3,21
Social Democrats,1,2,2,59
Left Party,0,4,1,58
Left Party,0,1,2,31
Liberals,1,4,2,43
Liberals,1,4,4,75
Liberals,1,4,3,17
Social Democrats,0,1,2,32
Conservatives,0,4,5,88
Social Democrats,1,4,3,27
Social Democrats,1,1,2,40
Left Party,0,2,1,23
Left Party,0,2,1,45
Left Party,0,1,2,31
Left Party,1,2,1,47
Social Democrats,1,1,3,35
Social Democrats,0,1,2,28
Liberals,0,4,5,19
Left Party,0,1,2,30
Social Democrats,1,1,3,26
Social Democrats,1,4,3,64
Conservatives,0,3,4,51
Social Democrats,1,1,3,70
Liberals,1,3,4,53
Liberals,0,4,4,20
Liberals,0,4,4,49
Liberals,1,1,5,45
Social Democrats,0,1,3,49
Social Democrats,1,1,1,46
Social Democrats,0,1,3,36
Social Democrats,1,4,3,32
Liberals,1,4,4,71
Liberals,1,3,5,28
Liberals,1,2,4,27
Social Democrats,1,1,1,44
Conservatives,0,4,4,29
Social Democrats,1,4,3,70
Social Democrats,0,4,3,58
Social Democrats,0,2,3,65
Social Democrats,1,4,3,78
Liberals,1,4,3,65
Social Democrats,1,2,4,42
Liberals,0,1,4,21
Social Democrats,0,3,4,35
Social Democrats,1,4,2,25
Liberals,1,3,4,27
Social Democrats,1,4,2,77
Social Democrats,0,2,3,50
Social Democrats,1,1,3,51
Social Democrats,1,3,3,49
Social Democrats,1,1,2,51
Liberals,0,1,2,61
Social Democrats,1,4,3,68
Social Democrats,1,4,3,32
Social Democrats,1,1,3,39
Social Democrats,0,2,3,39
Social Democrats,1,4,3,22
Social Democrats,1,1,3,30
Social Democrats,1,3,2,27
Social Democrats,0,1,3,29
Social Democrats,0,1,1,64
Social Democrats,1,4,2,62
Social Democrats,1,2,1,68
Social Democrats,0,1,1,70
Conservatives,1,4,3,80
Liberals,0,4,3,87
Social Democrats,0,1,3,52
Social Democrats,0,1,5,43
Social Democrats,0,1,2,57
Conservatives,0,2,3,31
Conservatives,1,3,4,29
Left Party,1,1,2,58
Social Democrats,1,1,2,26
Social Democrats,1,1,3,42
Social Democrats,1,2,2,27
Social Democrats,0,4,3,69
Left Party,1,3,2,23
Social Democrats,1,2,2,34
Social Democrats,1,4,2,37
Left Party,1,4,1,18
Social Democrats,0,2,2,36
Social Democrats,1,1,3,54
Social Democrats,1,1,2,64
Social Democrats,0,2,1,38
Conservatives,0,4,4,24
Liberals,1,2,4,68
Liberals,1,4,4,28
Social Democrats,0,3,2,57
Social Democrats,1,1,3,70
Social Democrats,1,4,2,25
Social Democrats,1,4,2,63
Social Democrats,1,3,2,38
Conservatives,0,4,5,33
Liberals,0,1,4,34
Conservatives,1,4,4,23
Social Democrats,1,2,2,40
Liberals,1,3,4,36
Social Democrats,0,4,2,20
Liberals,0,4,2,21
Conservatives,0,4,5,65
Liberals,1,2,4,35
Liberals,0,4,4,17
Conservatives,1,4,5,64
Social Democrats,1,1,3,61
Left Party,1,1,1,59
Social Democrats,0,4,3,18
Social Democrats,0,1,3,48
Liberals,1,4,3,59
Social Democrats,0,4,2,24
Social Democrats,0,3,2,33
Social Democrats,1,1,3,50
Conservatives,1,4,5,19
Conservatives,1,4,4,64
Social Democrats,0,4,2,24
Conservatives,0,4,4,32
Social Democrats,1,3,2,32
Liberals,0,4,4,70
Social Democrats,1,3,2,54
Liberals,1,4,4,61
Conservatives,1,4,3,18
Left Party,1,2,2,30
Social Democrats,0,1,2,25
Conservatives,0,4,5,29
Conservatives,0,2,3,21
Liberals,1,4,5,27
Conservatives,0,4,4,33
Liberals,1,4,3,24
Liberals,1,3,3,31
Conservatives,1,2,4,27
Social Democrats,0,4,3,23
Liberals,0,1,3,33
Liberals,0,3,4,27
Conservatives,0,4,4,30
Left Party,1,1,1,18
Social Democrats,0,4,2,63
Left Party,0,1,1,24
Social Democrats,0,2,2,61
Conservatives,0,3,5,37
Social Democrats,0,3,3,31
Social Democrats,1,3,2,21
Conservatives,0,4,5,36
Left Party,1,1,2,45
Left Party,1,4,1,17
Conservatives,0,1,3,58
Conservatives,1,1,3,49
Social Democrats,0,4,5,43
Conservatives,0,1,5,24
Social Democrats,0,2,5,26
Social Democrats,0,4,2,26
Conservatives,1,2,4,46
Social Democrats,1,4,1,21
Social Democrats,0,1,3,46
Conservatives,0,4,5,27
Conservatives,0,4,4,81
Conservatives,1,2,5,47
Conservatives,0,2,4,48
Social Democrats,0,1,1,44
Conservatives,0,2,5,77
Social Democrats,1,2,4,44
Conservatives,0,4,4,78
Conservatives,1,4,5,60
Social Democrats,0,4,2,39
Conservatives,0,3,4,57
Social Democrats,1,4,3,57
Social Democrats,0,4,3,57
Conservatives,1,2,4,36
Liberals,0,3,4,60
Conservatives,1,4,5,75
Conservatives,0,1,5,70
Social Democrats,0,2,3,52
Social Democrats,0,4,3,26
Conservatives,1,3,4,61
Conservatives,1,4,5,52
Social Democrats,0,1,3,70
Conservatives,0,1,3,42
Social Democrats,0,1,3,49
Conservatives,1,4,4,43
Left Party,0,4,2,17
Liberals,1,2,4,32
Social Democrats,1,1,2,49
Social Democrats,0,4,2,55
Conservatives,0,3,4,35
Conservatives,0,4,3,28
Conservatives,1,1,4,47
Conservatives,0,2,5,34
Conservatives,0,4,4,18
Liberals,0,2,4,53
Liberals,1,2,3,51
Conservatives,0,3,5,45
Social Democrats,0,3,1,35
Social Democrats,1,3,1,56
Conservatives,0,2,5,67
Liberals,1,3,4,61
Social Democrats,0,1,1,68
Social Democrats,0,4,1,63
Conservatives,0,4,4,76
Liberals,1,4,3,52
Left Party,1,1,3,41
Left Party,1,3,1,33
Social Democrats,0,1,1,64
Conservatives,0,4,4,65
Social Democrats,0,1,2,55
Social Democrats,1,1,3,38
Social Democrats,0,1,2,41
Left Party,1,1,1,58
Conservatives,0,2,5,30
Social Democrats,0,1,3,57
Social Democrats,0,1,2,41
Social Democrats,1,3,1,53
Liberals,0,4,4,21
Social Democrats,1,1,4,58
Social Democrats,0,2,2,63
Social Democrats,1,1,2,52
Social Democrats,1,1,2,59
Social Democrats,0,4,1,26
Liberals,0,3,4,35
Left Party,0,2,3,52
Left Party,1,1,1,46
Left Party,0,4,3,28
Social Democrats,1,1,1,29
Social Democrats,0,1,1,39
Social Democrats,0,1,3,27
Social Democrats,1,4,3,23
Left Party,1,1,2,47
Social Democrats,0,1,1,51
Social Democrats,1,4,2,20
Liberals,1,4,3,23
Social Democrats,0,4,3,42
Social Democrats,1,1,3,73
Liberals,0,3,3,53
Social Democrats,0,4,2,84
Left Party,0,4,1,68
Liberals,0,4,5,68
Liberals,1,1,5,64
Liberals,0,2,3,43
Conservatives,0,1,4,26
Conservatives,0,3,5,28
Social Democrats,0,1,2,28
Social Democrats,0,2,4,30
Social Democrats,1,4,2,43
Left Party,1,4,3,21
Liberals,1,2,3,29
Conservatives,0,4,5,18
Liberals,1,1,4,25
Social Democrats,1,1,3,46
Social Democrats,1,4,2,46
Conservatives,0,2,4,26
Conservatives,0,4,5,19
Conservatives,0,4,5,18
Liberals,1,3,3,44
Social Democrats,0,1,3,43
Conservatives,0,1,4,53
Conservatives,0,4,5,26
Conservatives,1,2,5,32
Conservatives,0,3,5,42
Social Democrats,1,1,2,30
Social Democrats,1,4,3,20
Social Democrats,1,4,2,24
Social Democrats,1,4,2,18
Social Democrats,1,2,1,52
Social Democrats,0,1,2,23
Social Democrats,1,1,3,23
Liberals,0,4,4,31
Liberals,1,4,4,30
Left Party,0,4,1,26
Social Democrats,0,3,4,24
Conservatives,0,4,5,17
Liberals,1,4,3,21
Liberals,0,2,2,31
Social Democrats,0,3,2,27
Social Democrats,0,3,4,28
Liberals,1,4,4,21
Conservatives,0,3,5,25
Social Democrats,1,4,2,21
Conservatives,1,2,4,33
Left Party,1,4,2,28
Conservatives,1,4,3,20
Conservatives,1,2,4,30
Social Democrats,0,4,2,22
Social Democrats,1,4,3,23
Conservatives,1,2,4,44
Liberals,1,3,4,27
Social Democrats,0,4,2,17
Social Democrats,1,3,2,22
Liberals,1,3,4,39
Liberals,0,4,4,44
Liberals,0,4,4,22
Liberals,0,2,4,32
Conservatives,1,4,4,17
Left Party,0,4,2,23
Social Democrats,1,3,1,28
Liberals,1,3,3,61
Liberals,1,3,4,30
Social Democrats,0,4,1,24
Social Democrats,0,4,2,23
Left Party,0,4,1,19
Liberals,1,1,4,27
Left Party,1,4,1,24
Social Democrats,1,1,2,24
Liberals,0,3,3,62
Liberals,0,4,4,20
Social Democrats,1,2,2,53
Liberals,0,2,3,29
Social Democrats,1,3,3,34
Liberals,0,3,4,32
Conservatives,0,4,4,35
Conservatives,1,2,5,23
Social Democrats,0,4,3,22
Liberals,1,3,3,30
Social Democrats,1,3,1,24
Social Democrats,0,4,2,41
Liberals,0,3,3,31
Social Democrats,0,1,1,54
Liberals,1,2,4,27
Left Party,1,4,1,34
Conservatives,0,4,4,26
Conservatives,1,4,4,29
Left Party,1,4,2,18
Social Democrats,0,4,3,22
Social Democrats,0,4,2,22
Conservatives,0,4,3,19
Conservatives,1,4,5,25
Social Democrats,0,4,2,19
Conservatives,0,4,5,34
Left Party,1,2,3,45
Social Democrats,0,1,1,30
Social Democrats,0,1,2,49
Left Party,1,1,2,36
Social Democrats,0,1,2,19
Social Democrats,0,2,3,43
Conservatives,0,4,5,25
Social Democrats,0,1,1,29
Left Party,0,4,1,24
Liberals,1,3,3,53
Social Democrats,1,4,2,24
Social Democrats,0,2,3,28
Social Democrats,1,4,2,55
Liberals,0,4,4,27
Liberals,1,4,2,26
Social Democrats,1,4,1,22
Left Party,1,1,2,48
Left Party,0,1,1,49
Liberals,1,4,5,25
Social Democrats,1,4,2,20
Social Democrats,1,4,2,21
Liberals,0,4,4,39
Social Democrats,0,2,3,56
Liberals,0,4,3,19
Liberals,1,2,3,61
Social Democrats,1,1,1,41
Conservatives,1,3,3,30
Liberals,0,3,4,47
Liberals,0,4,4,38
Liberals,1,3,4,37
Left Party,1,4,1,21
Left Party,1,4,1,21
Social Democrats,1,4,3,58
Social Democrats,0,4,3,22
Social Democrats,0,3,2,47
Conservatives,1,1,5,61
Conservatives,0,2,4,31
Social Democrats,1,2,2,37
Social Democrats,1,4,3,23
Left Party,0,1,1,47
Liberals,0,2,3,34
Conservatives,1,3,4,47
Liberals,0,4,4,48
Social Democrats,1,2,4,64
Social Democrats,1,1,2,19
Social Democrats,1,4,2,29
Liberals,0,4,4,29
Social Democrats,0,4,2,63
Conservatives,1,4,5,47
Social Democrats,1,4,3,17
Conservatives,1,4,1,33
Conservatives,0,2,5,39
Liberals,0,2,5,24
Liberals,1,3,3,47
Conservatives,0,4,5,27
Left Party,0,1,1,50
Social Democrats,0,4,2,27
Conservatives,1,4,3,20
Conservatives,0,4,4,27
Conservatives,0,4,5,42
Social Democrats,0,4,3,24
Left Party,0,1,2,69
Left Party,1,2,1,52
Left Party,0,2,2,57
Conservatives,0,4,4,28
Conservatives,0,4,5,50
Conservatives,0,4,4,40
Social Democrats,0,4,4,27
Social Democrats,1,3,3,37
Social Democrats,1,1,3,35
Conservatives,1,2,4,60
Social Democrats,0,1,3,62
Conservatives,0,4,5,36
Conservatives,0,4,4,54
Liberals,0,4,5,36
Conservatives,0,3,5,36
Liberals,0,3,5,28
Social Democrats,1,2,2,56
Social Democrats,0,4,3,48
Liberals,1,4,3,71
Social Democrats,0,4,3,32
Liberals,1,4,5,68
Conservatives,1,3,5,47
Social Democrats,0,1,3,35
Social Democrats,0,4,3,39
Social Democrats,0,4,3,32
